method,time,ax_raw_m_s2,ux_m,vx_m_s,ax_m_s2,ay_raw_m_s2,uy_m,vy_m_s,ay_m_s2,az_raw_m_s2,uz_m,vz_m_s,az_m_s2
calg,0.0005,4.293405788877158e-05,0.0,-0.003565517929378,-4.62412785414496e-06,1.3224704466935355e-05,0.0,0.0145700762351326,4.054671232695777e-06,0.0,0.0,0.0,0.0
calg,0.001,3.685276020633233e-05,-1.7827497511557766e-06,-0.0035654995029979,-6.970935670519366e-06,1.1983841703699928e-05,7.285041113497259e-06,0.0145700822270535,3.603489234750946e-06,0.0,0.0,0.0,0.0
calg,0.0015,3.23647614776032e-05,-3.5654914115612613e-06,-0.0035654833206172,-9.31777072045508e-06,1.1132812709896411e-05,1.4570085010295886e-05,0.0145700877934598,3.1522723466840796e-06,0.0,0.0,0.0,0.0
calg,0.002,2.7845778381892228e-05,-5.34822611031327e-06,-0.003565469397728,-1.1664196683973277e-05,1.0274123100895148e-05,2.1855131475484457e-05,0.0145700929305214,2.7011273494246166e-06,0.0,0.0,0.0,0.0
calg,0.0025,2.3298162173807088e-05,-7.130954984724269e-06,-0.0035654577486469,-1.400977766283229e-05,9.408347316497425e-06,2.914018029290255e-05,0.014570097634695,2.250160931610568e-06,0.0,0.0,0.0,0.0
calg,0.003,1.8724233415493008e-05,-8.913679177990907e-06,-0.0035654483865302,-1.6354079386155442e-05,8.536052364949143e-06,3.6425231244197054e-05,0.0145701019027212,1.7994793941525584e-06,0.0,0.0,0.0,0.0
calg,0.0035,1.4126287123557292e-05,-1.0696399839527082e-05,-0.0035654413233866,-1.8696670121831627e-05,7.657799071941751e-06,4.3710284109987896e-05,0.0145701057316208,1.3491884273892017e-06,0.0,0.0,0.0,0.0
calg,0.004,9.506589923255482e-06,-1.2479118124741895e-05,-0.0035654365700917,-2.1037121479166053e-05,6.774141386722832e-06,5.0995338669396206e-05,0.0145701091186915,8.99392913815213e-07,0.0,0.0,0.0,0.0
calg,0.0045,4.867379360673496e-06,-1.4261835192819206e-05,-0.003565434136402,-2.337500896527924e-05,5.885626208623761e-06,5.8280394700099825e-05,0.0145701120615046,4.5019679244107886e-07,0.0,0.0,0.0,0.0
calg,0.005,2.108654631113871e-07,-1.6044552208382967e-05,-0.0035654340309693,-2.57099125012053e-05,4.9927937860461125e-06,6.55654519790827e-05,0.0145701145579015,1.7029316614256766e-09,0.0,0.0,0.0,0.0
calg,0.0054999999999999,-4.460771625344751e-06,-1.7827270338943713e-05,-0.0035654362613551,-2.8041416811240024e-05,4.09617710930843e-06,7.285051028207978e-05,0.01457011660599,-4.459869661077585e-07,0.0,0.0,0.0,0.0
calg,0.006,-9.14538244699975e-06,-1.9609990756008777e-05,-0.0035654408340463,-3.036911172749502e-05,3.196301730234996e-06,8.013556938418764e-05,0.0145701182041409,-8.927724389840364e-07,0.0,0.0,0.0,0.0
calg,0.0065,-1.3840846043063073e-05,-2.139271463319492e-05,-0.0035654477544693,-3.269259246078911e-05,2.293686289511765e-06,8.742062905969794e-05,0.014570119350984,-1.3385543321901374e-06,0.0,0.0,0.0,0.0
calg,0.007,-1.8545072918291217e-05,-2.3175443146783437e-05,-0.0035654570270058,-3.501145981133943e-05,1.3888418019802895e-06,9.470568908240273e-05,0.0145701200454049,-1.7832348501224913e-06,0.0,0.0,0.0,0.0
calg,0.0074999999999999,-2.325600367055619e-05,-2.4958177474165844e-05,-0.0035654686550076,-3.732532036266116e-05,4.822719688879484e-07,0.00010199074922559448,0.0145701202865409,-2.226717603756193e-06,0.0,0.0,0.0,0.0
calg,0.008,-2.797161086261213e-05,-2.674091879473206e-05,-0.003565482640813,-3.9633786613945575e-05,-4.255272592623705e-07,0.00010927580926248237,0.0145701200737773,-2.668907643306616e-06,0.0,0.0,0.0,0.0
calg,0.0085,-3.268989795610772e-05,-2.852366828753894e-05,-0.003565498985762,-4.1936477142176775e-05,-1.3340674398509833e-06,0.00011656086896588702,0.0145701194067436,-3.1097114982533455e-06,0.0,0.0,0.0,0.0
calg,0.009,-3.74089003316036e-05,-3.0306427132753555e-05,-0.0035655176902122,-4.423301667279844e-05,-2.24286787753325e-06,0.0001238459281086013,0.0145701182853096,-3.549037194701618e-06,0.0,0.0,0.0,0.0
calg,0.0094999999999999,-4.2126684827135934e-05,-3.208919650954378e-05,-0.0035655387535546,-4.652303618247284e-05,-3.1514555166867182e-06,0.00013113098646339028,0.0145701167095819,-3.986794280836953e-06,0.0,0.0,0.0,0.0
calg,0.01,-4.684135317557098e-05,-3.3871977596522385e-05,-0.0035655621742312,-4.880617297552102e-05,-4.059365784486735e-06,0.00013841604380329664,0.014570114679899,-4.422893845959508e-06,0.0,0.0,0.0,0.0
calg,0.0105,-5.1551036494255915e-05,-3.565477157152497e-05,-0.0035655879497494,-5.108207074498879e-05,-4.966141251699918e-06,0.0001457010999016961,0.0145701121968283,-4.857248535378979e-06,0.0,0.0,0.0,0.0
calg,0.0109999999999999,-5.625389981438189e-05,-3.7437579609722604e-05,-0.0035656160766993,-5.5698780536992984e-05,-5.871332722090505e-06,0.00015298615453229747,0.014570109261162,-5.7413451735877086e-06,0.0,0.0,0.0,0.0
calg,0.0115,-6.094814181904079e-05,-3.922040288517614e-05,-0.0035656465507703,-6.0269495998596214e-05,-6.774499190786987e-06,0.00016027120746928136,0.0145701058739124,-6.614267325155552e-06,0.0,0.0,0.0,0.0
calg,0.012,-6.563199384489182e-05,-4.1003242568393716e-05,-0.0035656793667672,-6.483213614735971e-05,-7.67520758754303e-06,0.00016755625848738354,0.0145701020363086,-7.485294354114418e-06,0.0,0.0,0.0,0.0
calg,0.0125,-7.030372115544857e-05,-4.278609982755199e-05,-0.0035657145186278,-6.938497766682048e-05,-8.573033095926606e-06,0.00017484130736228343,0.014570097749792,-8.354004333658483e-06,0.0,0.0,0.0,0.0
calg,0.013,-7.496162246923427e-05,-4.456897582760799e-05,-0.003565751999439,-7.39263297067109e-05,-9.46755904229768e-06,0.00018212635387029885,0.0145700930160125,-9.219983233697047e-06,0.0,0.0,0.0,0.0
calg,0.0135,-7.96040292494124e-05,-4.6351871728189664e-05,-0.0035657918014536,-7.845453397631806e-05,-1.0358376708458072e-05,0.00018941139778880234,0.0145700878368242,-1.0082824945056044e-05,0.0,0.0,0.0,0.0
calg,0.014,-8.422930812719553e-05,-4.81347886861494e-05,-0.0035658339161077,-8.296796493451701e-05,-1.1245085952682476e-05,0.00019669643889588806,0.0145700822142812,-1.0942131327288709e-05,0.0,0.0,0.0,0.0
calg,0.0145,-8.883585857644843e-05,-4.991772785312154e-05,-0.003565878334037,-8.74650299155891e-05,-1.2127294606034678e-05,0.00020398147697117675,0.0145700761506339,-1.1797512240831434e-05,0.0,0.0,0.0,0.0
calg,0.0149999999999999,-9.342211504306112e-05,-5.1700690375522385e-05,-0.0035659250450945,-9.194416920244943e-05,-1.3004619030948517e-05,0.00021126651179539935,0.0145700696483244,-1.2648585566128035e-05,0.0,0.0,0.0,0.0
calg,0.0155,-9.798654611228168e-05,-5.348367739477222e-05,-0.0035659740383675,-9.640385618085459e-05,-1.3876683899183284e-05,0.00021855154315039704,0.0145700627099824,-1.3494977242809107e-05,0.0,0.0,0.0,0.0
calg,0.016,-0.0001025276541314,-5.5266690045963074e-05,-0.0035660253021946,-0.00010084259739252177,-1.4743122098148652e-05,0.00022583657081959307,0.0145700553384214,-1.433632128407755e-05,0.0,0.0,0.0,0.0
calg,0.0165,-0.0001070439759262,-5.704972945796971e-05,-0.0035660788241826,-0.00010525893260574374,-1.5603574914785368e-05,0.00023312159458788173,0.0145700475366339,-1.5172259795071245e-05,0.0,0.0,0.0,0.0
calg,0.017,-0.0001115340823795,-5.883279675356068e-05,-0.0035661345912238,-0.00010965143486303245,-1.6457691941890173e-05,0.00024040661424179488,0.0145700393077879,-1.6002442985894634e-05,0.0,0.0,0.0,0.0
calg,0.0175,-0.0001159965791076,-6.0615893048399094e-05,-0.0035661925895133,-0.00011401871053668875,-1.730513122730204e-05,0.00024769162956939095,0.0145700306552223,-1.682652918693506e-05,0.0,0.0,0.0,0.0
calg,0.018,-0.0001204301054089,-6.23990194508206e-05,-0.003566252804566,-0.00011835939933598249,-1.8145559027571423e-05,0.000254976640360699,0.0145700215824428,-1.7644184851401387e-05,0.0,0.0,0.0,0.0
calg,0.0184999999999999,-0.0001248333361585,-6.418217706116724e-05,-0.0035663152212341,-0.00012267217434867002,-1.8978650276335607e-05,0.0002622616464071914,0.0145700120931177,-1.8455084567086273e-05,0.0,0.0,0.0,0.0
calg,0.019,-0.0001292049793058,-6.596536697311972e-05,-0.0035663798237238,-0.00012695574200084788,-1.9804087963287698e-05,0.00026954664750269974,0.0145700021910737,-1.9258911047819482e-05,0.0,0.0,0.0,0.0
calg,0.0195,-0.0001335437775501,-6.774859027081082e-05,-0.0035664465956125,-0.00013120884207444536,-2.0621563553979705e-05,0.00027683164344288747,0.0145699918802919,-2.0055355139052843e-05,0.0,0.0,0.0,0.0
