method,time,ux_m,vx_m_s,ax_m_s2,uy_m,vy_m_s,ay_m_s2,uz_m,vz_m_s,az_m_s2,gap_m,contact_force_N
calg,0.0002,0.0,0.0,0.19522254117163562,0.0,0.0,0.09103376599281326,0.0,-0.001962,-2.0629993301525618,0.0001999999999999,0.0
calg,0.0004,0.0,0.0,0.26152484514161745,0.0,0.0,0.12195103808733619,-7.84800000000474e-07,-0.003924,-1.829292716921806,0.0001996075999999,0.0
calg,0.0006,0.0,0.0,0.32276158096418045,0.0,0.0,0.15050619696181172,-1.961999999994246e-06,-0.005886,-1.608545198068233,0.0001988227999999,0.0
calg,0.0008,0.0,0.0,0.3784900542852055,0.0,0.0,0.17649281084869223,-3.531599999995194e-06,-0.007848,-1.4003110527884204,0.0001976456,0.0
calg,0.001,0.0,0.0,0.4284381401685483,0.0,0.0,0.19978398580627849,-5.49359999998944e-06,-0.00981,-1.2041734665639148,0.000196076,0.0
calg,0.0012,0.0,0.0,0.4724859490383289,0.0,0.0,0.22032381640720491,-7.847999999990862e-06,-0.011772,-1.0197406095394794,0.000194114,0.0
calg,0.0014,0.0,0.0,0.5106468450251205,0.0,0.0,0.23811853444790218,-1.059479999999946e-05,-0.013734,-0.846641709763355,0.0001917596,0.0
calg,0.0016,0.0,0.0,0.5430483199815492,0.0,0.0,0.2532275903556023,-1.3733999999987478e-05,-0.015696,-0.6845232358961025,0.0001890127999999,0.0
calg,0.0018,0.0,0.0,0.5699131560431941,0.0,0.0,0.2657548691462259,-1.726559999999655e-05,-0.017658,-0.5330452826619136,0.0001858735999999,0.0
calg,0.002,0.0,0.0,0.5915412406462027,0.0,0.0,0.2758402106278331,-2.118959999999892e-05,-0.01962,-0.39187823231742797,0.000182342,0.0
calg,0.0022,0.0,0.0,0.6082923314608285,0.0,0.0,0.2836513725571431,-2.550599999999459e-05,-0.0215819999999999,-0.26069974691461717,0.000178418,0.0
calg,0.0024,0.0,0.0,0.6205700056780579,0.0,0.0,0.2893765460689693,-3.0214799999997433e-05,-0.0235439999999999,-0.13919212927791774,0.0001741016,0.0
calg,0.0026,0.0,0.0,0.6288069692350303,0.0,0.0,0.2932175052555292,-3.5315999999993575e-05,-0.0255059999999999,-0.027040075487899433,0.0001693928,0.0
calg,0.0028,0.0,0.0,0.6334518474561914,0.0,0.0,0.2953834475412542,-4.080959999999689e-05,-0.0274679999999999,0.07607117168953137,0.0001642916,0.0
calg,0.003,0.0,0.0,0.6337109195218517,0.0,0.0,0.29550425482948556,-4.669559999999351e-05,-0.0294299999999999,0.17505564296728354,0.000158798,0.0
calg,0.0032,0.0,0.0,0.6299467316404179,0.0,0.0,0.2937489851936389,-5.29739999999973e-05,-0.0313919999999999,0.27121938908677645,0.000152912,0.0
calg,0.0034,0.0,0.0,0.6230018501139211,0.0,0.0,0.2905105337528541,-5.964479999999439e-05,-0.0333539999999999,0.364209289706554,0.0001466336,0.0
calg,0.0036,0.0,0.0,0.6136659108257146,0.0,0.0,0.2861571137666934,-6.670799999999866e-05,-0.0353159999999999,0.4536947401656432,0.0001399628,0.0
calg,0.0038,0.0,0.0,0.6026643819348528,0.0,0.0,0.2810270165934709,-7.416359999999622e-05,-0.0372779999999999,0.5393706625715377,0.0001328996,0.0
calg,0.004,0.0,0.0,0.5906504214659143,0.0,0.0,0.27542481482203357,-8.201160000000096e-05,-0.0392399999999999,0.6209598138063208,0.000125444,0.0
calg,0.0042,0.0,0.0,0.5781995771096963,0.0,0.0,0.26961889074823325,-9.0251999999999e-05,-0.0412019999999999,0.6982144350495514,0.000117596,0.0
calg,0.0044,0.0,0.0,0.5658070485352877,0.0,0.0,0.26384015977008207,-9.888479999999034e-05,-0.0431639999999999,0.7709172949809818,0.0001093556,0.0
calg,0.0046,0.0,0.0,0.5538872150987084,0.0,0.0,0.25828185015467325,-0.00010790999999998885,-0.0451259999999999,0.838882184246336,0.0001007228,0.0
calg,0.0048,0.0,0.0,0.5427751231107887,0.0,0.0,0.2531001965625836,-0.00011732759999999454,-0.0470879999999999,0.901953922222893,9.169759999999584e-05,0.0
calg,0.005,0.0,0.0,0.5327296258306732,0.0,0.0,0.24841590425089052,-0.00012713759999999352,-0.0490499999999999,0.9600079388001984,8.227999999999014e-05,0.0
calg,0.0052,0.0,0.0,0.5239378750773774,0.0,0.0,0.2443162435460386,-0.00013733999999999968,-0.0510119999999999,1.0129494940102655,7.246999999999115e-05,0.0
calg,0.0054,0.0,0.0,0.5165208747937461,0.0,0.0,0.24085763951324354,-0.00014793479999999914,-0.0529739999999999,1.0607125970985125,6.226759999999887e-05,0.0
calg,0.0056,0.0,0.0,0.5105398230539312,0.0,0.0,0.23806862928314665,-0.0001589219999999919,-0.0549359999999999,1.103258684242742,5.1672800000013286e-05,0.0
calg,0.0058,0.0,0.0,0.5060029889139449,0.0,0.0,0.235953068779892,-0.00017030159999999184,-0.0568979999999999,1.1405751107965767,4.0685600000034405e-05,0.0
calg,0.006,0.0,0.0,0.5028728932419275,0.0,0.0,0.23449348119727245,-0.00018207359999999895,-0.0588599999999999,1.17267350986548,2.930600000000672e-05,0.0
calg,0.0062,0.0,0.0,0.5010735873739968,0.0,0.0,0.233654451091693,-0.00019423799999999936,-0.0608219999999999,1.199588064393858,1.7533999999985728e-05,0.0
calg,0.0064,0.0,0.0,0.5004978493311228,0.0,0.0,0.23338598003320962,-0.0002067948000000902,-0.0627839999999999,1.221373734931752,5.369599999971442e-06,0.0
calg,0.0066,-2.163365926538541e-07,-0.0010816828949046,0.501014143691564,-1.00879409895005e-07,-0.0005043970175893,0.23362673204734552,-0.00021894530906389764,-0.0607525450385107,1.2381044800138021,-7.187200000036143e-06,42.2470400000072
calg,0.0068,-6.204460796244149e-07,-0.0020205471831503,0.5024732174105803,-2.893187584090962e-07,-0.0009421966251665,0.23430710929633564,-0.0002306753272771911,-0.0586500900294076,1.249871500770349,-1.9337709419947613e-05,43.36264169695213
