method,time,ux,vx,ax,uy,vy,ay,uz,vz,az,gap,contact_force
CALG,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001962,-9.81,0.0001996075999999,0.0
CALG,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,-7.84800000000474e-07,-0.003924,-9.81,0.0001988227999999,0.0
CALG,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,-1.961999999994246e-06,-0.005886,-9.81,0.0001976456,0.0
CALG,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,-3.531599999995194e-06,-0.007848,-9.81,0.000196076,0.0
CALG,0.001,0.0,0.0,0.0,0.0,0.0,0.0,-5.49359999998944e-06,-0.00981,-9.81,0.000194114,0.0
CALG,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,-7.847999999990862e-06,-0.011772,-9.81,0.0001917596,0.0
CALG,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,-1.059479999999946e-05,-0.013734,-9.81,0.0001890127999999,0.0
CALG,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,-1.3733999999987478e-05,-0.015696,-9.81,0.0001858735999999,0.0
CALG,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,-1.726559999999655e-05,-0.017658,-9.81,0.000182342,0.0
CALG,0.002,0.0,0.0,0.0,0.0,0.0,0.0,-2.118959999999892e-05,-0.01962,-9.81,0.000178418,0.0
CALG,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,-2.550599999999459e-05,-0.0215819999999999,-9.81,0.0001741016,0.0
CALG,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,-3.0214799999997433e-05,-0.0235439999999999,-9.81,0.0001693928,0.0
CALG,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,-3.5315999999993575e-05,-0.0255059999999999,-9.81,0.0001642916,0.0
CALG,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,-4.080959999999689e-05,-0.0274679999999999,-9.81,0.000158798,0.0
CALG,0.003,0.0,0.0,0.0,0.0,0.0,0.0,-4.669559999999351e-05,-0.0294299999999999,-9.81,0.000152912,0.0
CALG,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,-5.29739999999973e-05,-0.0313919999999999,-9.81,0.0001466336,0.0
CALG,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,-5.964479999999439e-05,-0.0333539999999999,-9.81,0.0001399628,0.0
CALG,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,-6.670799999999866e-05,-0.0353159999999999,-9.81,0.0001328996,0.0
CALG,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,-7.416359999999622e-05,-0.0372779999999999,-9.81,0.000125444,0.0
CALG,0.004,0.0,0.0,0.0,0.0,0.0,0.0,-8.201160000000096e-05,-0.0392399999999999,-9.81,0.000117596,0.0
