method,time,ux_m,vx_m_s,ax_raw_m_s2,ax_m_s2,uy_m,vy_m_s,ay_raw_m_s2,ay_m_s2,uz_m,vz_m_s,az_raw_m_s2,az_m_s2
calg,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001962,-9.81,-9.81
calg,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.84800000000474e-07,-0.003924,-9.81,-9.81
calg,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9619999998971016e-06,-0.005886,-9.81,-9.81
calg,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5315999998980496e-06,-0.007848,-9.81,-9.81
calg,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.493599999892296e-06,-0.00981,-9.81,-9.81
calg,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.847999999893718e-06,-0.011772,-9.81,-9.81
calg,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.059479999999946e-05,-0.013734,-9.81,-9.81
calg,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3733999999987478e-05,-0.015696,-9.81,-9.81
calg,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.726559999999655e-05,-0.017658,-9.81,-9.81
calg,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1189599999887898e-05,-0.0196199999999999,-9.81,-9.81
calg,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5505999999897444e-05,-0.0215819999999999,-9.81,-9.81
calg,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0214799999900288e-05,-0.0235439999999999,-9.81,-9.81
calg,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.531599999989643e-05,-0.0255059999999999,-9.81,-9.81
calg,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.080959999989975e-05,-0.0274679999999999,-9.81,-9.81
calg,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6695599999896364e-05,-0.0294299999999999,-9.81,-9.81
calg,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.29739999999973e-05,-0.0313919999999999,-9.81,-9.81
calg,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.964479999999439e-05,-0.0333539999999999,-9.81,-9.81
calg,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.670799999988763e-05,-0.0353159999999999,-9.81,-9.81
calg,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.416359999989908e-05,-0.0372779999999999,-9.81,-9.81
calg,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.201159999988994e-05,-0.0392399999999999,-9.81,-9.81
calg,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.025199999988798e-05,-0.0412019999999999,-9.81,-9.81
calg,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.888479999989319e-05,-0.0431639999999999,-9.81,-9.81
calg,0.0045999999999999,0.0,0.0,0.0,-0.25754589479727735,0.0,0.0,0.0,-0.12009562307047335,-0.00010790999999998885,-0.0451259999999999,-9.81,-8.859176552338042
calg,0.0048,0.0,0.0,0.0,-0.4810895416954213,0.0,0.0,0.0,-0.22433573755176547,-0.00011732759999999454,-0.0470879999999999,-9.81,-7.891447575388884
calg,0.005,0.0,0.0,0.0,-0.6675672081148838,0.0,0.0,0.0,-0.3112917014798019,-0.00012713759999999352,-0.0490499999999999,-9.81,-6.910193340621025
calg,0.0052,0.0,0.0,0.0,-0.8151492990255395,0.0,0.0,0.0,-0.3801103606800628,-0.00013733999999999968,-0.0510119999999999,-9.81,-5.918401858213013
calg,0.0054,0.0,0.0,0.0,-0.9231394920519422,0.0,0.0,0.0,-0.4304670146943324,-0.00014793479999988812,-0.0529739999999999,-9.81,-4.918700977145264
calg,0.0055999999999999,0.0,0.0,0.0,-0.9918595655669598,0.0,0.0,0.0,-0.4625117112388161,-0.00015892199999989476,-0.0549359999999999,-9.81,-3.9133927149071246
calg,0.0058,0.0,0.0,0.0,-1.022524271694257,0.0,0.0,0.0,-0.4768108985274103,-0.0001703015999998947,-0.0568979999999999,-9.81,-2.9044887077837473
calg,0.006,0.0,0.0,0.0,-1.0171103167947393,0.0,0.0,0.0,-0.4742863298698977,-0.00018207359999999895,-0.0588599999999999,-9.81,-1.89374579132966
calg,0.0062,0.0,0.0,0.0,-0.9782231639720843,0.0,0.0,0.0,-0.45615295266110306,-0.00019423799999999936,-0.0608219999999999,-9.81,-0.8827008467588425
calg,0.0064,0.0,0.0,0.0,-0.9089649803085111,0.0,0.0,0.0,-0.4238573311664987,-0.00020679479999999306,-0.0627839999999999,-9.81,0.1272958209166266
calg,0.0066,-2.163365926399763e-07,-0.0010816828949044,-5.408463790742824,-0.8128066301597515,-1.0087940992276057e-07,-0.0005043970175891,-2.5220080844799404,-0.37901795601604676,-0.00021894530906368947,-0.0607525450385117,10.157292400901122,1.1350491765633528
calg,0.0068,-6.20446076488035e-07,-0.002020547168076,-4.694416584861023,-0.6934661780892503,-2.8931875720172867e-07,-0.0009421966181368,-2.189042404107135,-0.3233685891923657,-0.00023067532727739926,-0.0586500900306022,10.512308515932332,2.1394906959199886
calg,0.007,-1.181191404117654e-06,-0.0028037261201706,-3.916030994808713,-0.5547959228031417,-5.507985976274665e-07,-0.0013073989612001,-1.8260752424887643,-0.25870558708957136,-0.00024197349403878854,-0.0564908316792328,10.796338930125044,3.139652506165431
calg,0.0072,-1.8658989026365536e-06,-0.0034235366616135,-3.099223909123768,-0.40067954750897206,-8.70082947725115e-07,-0.0015964213632645,-1.4451918432054798,-0.1868399409375933,-0.00025283095854859716,-0.0542873191263958,11.017621130568244,4.134644662380475
calg,0.0074,-2.641310258483242e-06,-0.003877055615677,-2.267794053554456,-0.23494055161983815,-1.2316632012204789e-06,-0.0018079007246227,-1.0574897342996612,-0.10955457780394562,-0.00026324107726719004,-0.0520505888023759,11.183718502422725,5.123635689037753
calg,0.0076,-3.47443774310896e-06,-0.0041656359331623,-1.44312154381537,-0.061262731497389714,-1.620156927492622e-06,-0.0019424679365778,-0.6729386274341593,-0.028567280154330084,-0.00027319914022198855,-0.0497903086358051,11.301473507000932,6.105836418716386
calg,0.0078,-4.333314321092185e-06,-0.0042943810989664,-0.643958828673247,0.11687688970170343,-2.020657653159508e-06,-0.0020025027932026,-0.3002829330604779,0.054500589474651466,-0.00028270212708939035,-0.0475149269660933,11.376984149590909,7.0804870744866655
calg,0.008,-5.187633689743287e-06,-0.004271594795117,0.1136930528898754,0.2962626161359216,-2.419033317116459e-06,-0.0019918773650017,0.0530159418077657,0.1381495274759533,-0.0002917484931756892,-0.0452318219984653,11.41560124553584,8.04684746844645
calg,0.0082,-6.009278425894715e-06,-0.0041082214226602,0.8166302092757542,0.47398234548931034,-2.8021725496860106e-06,-0.0019156951099867,0.3808009213846879,0.22102159823074466,-0.0003003379846698989,-0.0429474481718165,11.421943835987168,9.004190126995878
calg,0.0084,-6.7727371965004e-06,-0.003817291438722,1.4544218569350391,0.647458030218718,-3.1581792208426607e-06,-0.0017800322301035,0.678208051386692,0.30191463842215366,-0.0003084714819288903,-0.0406674763562034,11.399930021184849,9.95179610359904
calg,0.0086,-7.4554144389449295e-06,-0.003413383694884,2.019325353123949,0.8144650301995607,-3.4765168467273955e-06,-0.0015916869555015,0.9416268781594904,0.3797912813228887,-0.0003161508690722875,-0.0383969253454288,11.35282046858125,10.888953201778838
calg,0.0088,-8.037837978827622e-06,-0.0029121151241292,2.506149493480529,1.230687120041892,-3.7481054031632266e-06,-0.0013579415816495,1.1686367032973008,0.573878829103373,-0.00032337892772259236,-0.036140282648084,11.283271906489356,10.864132856600678
calg,0.009,-8.503771749823752e-06,-0.0023296662659919,2.912075361008279,1.603076429365049,-3.9653738882275405e-06,-0.0010863412180785,1.3579230441586825,0.7475268156075888,-0.000330159252474288,-0.0339016130980363,11.193398015154292,10.810557063425618
calg,0.0091999999999999,-8.840242121388453e-06,-0.001682349288339,3.2364438811775624,1.9274236163130476,-4.12227259859177e-06,-0.0007844923536287,1.5091785691915391,0.8987723925046376,-0.0003364961854483983,-0.031684654292264,11.084835280515913,10.730922939120132
calg,0.0094,-9.037487305546543e-06,-0.0009862233978876,3.480518913671812,2.2010923244601113,-4.214249537747017e-06,-0.0004598835194248,1.6229926258066012,1.026386206618522,-0.0003423947671888916,-0.0294928983140656,10.958811559802836,10.627552816309471
calg,0.0096,-9.088839969695341e-06,-0.0002567608630246,3.647234222571417,2.4228972249546397,-4.238195677519485e-06,-0.0001197295527551,1.7007332506419264,1.129815530044779,-0.0003478607011347945,-0.0273296596067621,10.81621532325129,10.502431871774368
calg,0.0097999999999999,-8.990553512333577e-06,0.0004914346716721,3.740932045180956,2.5929630972108733,-4.192363948898881e-06,0.0002291597550293,1.7444252622086125,1.2091185483970097,-0.000352900328941988,-0.0251981292231096,10.65766377117588,10.357248505584147
calg,0.01,-8.741582513821513e-06,0.0012448572990255,3.7671002551185815,2.7125704359406013,-4.076266864772027e-06,0.0005804864959414,1.756627698027338,1.2648923661869296,-0.00035752061403769575,-0.0231014159862428,10.483568273155443,10.19343608500419
calg,0.0102,-8.343327689688818e-06,0.0019912763501641,3.732114316421164,2.7839927286592974,-3.890557589390775e-06,0.000928547415394,1.7403134858506193,1.2981971280769724,-0.00036172913094428827,-0.0210425753578889,10.294195829538005,10.01221481167705
calg,0.0104,-7.7993552589084e-06,0.0027198643120791,3.6429893793175614,2.8103301271846357,-3.6368990784727e-06,0.0012682935611397,1.6987538440195882,1.3104784585714253,-0.0003655340581258937,-0.0190246270188815,10.089725508666396,9.81463262554497
calg,0.0106,-7.115100061350077e-06,0.0034212780875165,3.5071469995976967,2.7953437567884976,-3.3178256392818466e-06,0.001595368175383,1.6354095009154366,1.3034901991540926,-0.0003689441723197934,-0.0170505623265902,9.870299061775784,9.601604220243452
calg,0.0108,-6.297561023105303e-06,0.0040876972456972,3.3322000959461326,2.7432943884883843,-2.9366009245343494e-06,0.0019061245313857,1.553830418910231,1.2792191799498116,-0.00037196884259618757,-0.0151233429265483,9.636065152159745,9.37394740698668
calg,0.011,-5.35499673483264e-06,0.0047128234654033,3.125758910925275,2.654930252582914,-2.497075978505348e-06,0.0021976256737726,1.457565312481396,1.2380143064470013,-0.0003746180226354978,-0.0132458918634136,9.387216859256103,9.146649270693704
calg,0.0112,-4.296627984456958e-06,0.0052918457629553,2.8952599310992544,2.5346164852207087,-2.0035505252924413e-06,0.0024676282040707,1.3500818723492596,1.1819110750346382,-0.00037690224000438977,-0.0114210785639804,9.124022319709825,8.924192903474964
calg,0.0114,-3.132353120521847e-06,0.0058213763366167,2.6478189619645724,2.388350111257001,-1.4606402404804264e-06,0.0027145523644605,1.2346982531860924,1.113705944309353,-0.000378832581476099,-0.0096516990557186,8.846848551544351,8.705938687763249
