case,method,expected_gap,min_gap,abs_error,elapsed_s,contacts,candidate_pairs,faces_a,faces_b,notes
plane_plane_gap,calg_curved_graph,0.08,0.08,0.0,1.404129317999832,328,400,32,32,fast_path_ratio=0.82; curved_attempted=264; interval_attempted=0
plane_plane_gap,linear_triangle_bvh,0.08,0.08,0.0,0.16953687699970033,328,400,32,32,
plane_plane_gap,trimesh_nearest_sampled,0.08,0.08,0.0,0.08822101399982785,306,306,32,32,open_source_baseline=trimesh.closest_point_naive
plane_plane_gap,global_subdivision_linear_L1,0.08,0.08,0.0,1.7416487390000839,1544,4624,32,32,faces_a=128; faces_b=128
sphere_plane_gap,calg_curved_graph,0.08,0.0785587146995454,0.0014412853004546061,0.5206254310005534,60,596,80,72,fast_path_ratio=0.107383; curved_attempted=46; interval_attempted=0
sphere_plane_gap,linear_triangle_bvh,0.08,0.08000000000000007,6.938893903907228e-17,0.10519548400043277,60,168,80,72,
sphere_plane_gap,trimesh_nearest_sampled,0.08,0.08000000000000007,6.938893903907228e-17,0.23507480199987185,2,699,80,72,open_source_baseline=trimesh.closest_point_naive
sphere_plane_gap,global_subdivision_linear_L1,0.08,0.08000000000000007,6.938893903907228e-17,0.614580763000049,60,1088,80,72,faces_a=320; faces_b=288
paraboloid_plane_gap,calg_curved_graph,0.06,0.05999999999999997,2.7755575615628914e-17,1.5439006249998783,180,1008,72,72,fast_path_ratio=0.190476; curved_attempted=100; interval_attempted=0
paraboloid_plane_gap,linear_triangle_bvh,0.06,0.06,0.0,0.412277905999872,176,1008,72,72,
paraboloid_plane_gap,trimesh_nearest_sampled,0.06,0.06,0.0,0.20351049400051124,94,674,72,72,open_source_baseline=trimesh.closest_point_naive
paraboloid_plane_gap,global_subdivision_linear_L1,0.06,0.06,0.0,3.7746797489999153,514,8528,72,72,faces_a=288; faces_b=288
open_wavy_sheet_plane,calg_curved_graph,0.04,0.04106639641089822,0.0010663964108982224,2.6866871809997974,489,1024,72,72,fast_path_ratio=0.488281; curved_attempted=146; interval_attempted=0
open_wavy_sheet_plane,linear_triangle_bvh,0.04,0.042679491924311225,0.002679491924311224,0.464298842000062,478,1024,72,72,
open_wavy_sheet_plane,trimesh_nearest_sampled,0.04,0.042679491924311225,0.002679491924311224,0.2141877909998584,619,674,72,72,open_source_baseline=trimesh.closest_point_naive
open_wavy_sheet_plane,global_subdivision_linear_L1,0.04,0.042679491924311225,0.002679491924311224,3.3071890750006787,2704,8464,72,72,faces_a=288; faces_b=288
cylinder_plane_line_contact_small,calg_curved_graph,0.05,0.04937031486664471,0.00062968513335529,2.890870506000283,344,1152,80,128,fast_path_ratio=0.322917; curved_attempted=216; interval_attempted=0
cylinder_plane_line_contact_small,linear_triangle_bvh,0.05,0.07447174185242322,0.02447174185242322,0.3549980220004727,252,768,80,128,
cylinder_plane_line_contact_small,trimesh_nearest_sampled,0.05,0.07447174185242322,0.02447174185242322,0.3086153459998968,183,963,80,128,open_source_baseline=trimesh.closest_point_naive
