family,resolution,faces_a,faces_b,h_a,h_b,method,expected_gap,min_gap,abs_error,elapsed_s,contacts,candidate_pairs,notes
sphere_plane,4,48,72,1.0000000000000002,0.6599663291074445,calg_curved_graph,0.08,0.07522411309031632,0.004775886909683683,0.7366553129995737,59,496,fast_path_ratio=0.183468; curved_attempted=46; interval_attempted=0
sphere_plane,4,48,72,1.0000000000000002,0.6599663291074445,linear_triangle_bvh,0.08,0.14527716220302878,0.06527716220302877,0.1469738839996353,0,264,
sphere_plane,6,120,72,0.7071067811865478,0.6599663291074445,calg_curved_graph,0.08,0.07936710003564064,0.0006328999643593625,0.5878666600001452,42,516,fast_path_ratio=0.133721; curved_attempted=18; interval_attempted=0
sphere_plane,6,120,72,0.7071067811865478,0.6599663291074445,linear_triangle_bvh,0.08,0.09625248357636329,0.01625248357636329,0.21454998799981695,17,372,
sphere_plane,8,224,128,0.5411961001461976,0.4949747468305834,calg_curved_graph,0.08,0.07982071482476151,0.00017928517523849163,0.8519010400004845,62,952,fast_path_ratio=0.0913866; curved_attempted=26; interval_attempted=0
sphere_plane,8,224,128,0.5411961001461976,0.4949747468305834,linear_triangle_bvh,0.08,0.08072811460938856,0.0007281146093885554,0.39663566799936234,46,720,
paraboloid_plane,4,32,32,0.5618777808607491,0.6363961030678928,calg_curved_graph,0.06,0.05999999999999994,5.551115123125783e-17,0.9307758879995163,78,384,fast_path_ratio=0.317708; curved_attempted=68; interval_attempted=0
paraboloid_plane,4,32,32,0.5618777808607491,0.6363961030678928,linear_triangle_bvh,0.06,0.06,0.0,0.15709152500039636,36,384,
paraboloid_plane,6,72,72,0.379349772637338,0.42426406871192857,calg_curved_graph,0.06,0.05999999999999997,2.7755575615628914e-17,1.5400550250005836,180,1008,fast_path_ratio=0.190476; curved_attempted=100; interval_attempted=0
paraboloid_plane,6,72,72,0.379349772637338,0.42426406871192857,linear_triangle_bvh,0.06,0.06,0.0,0.45155371600048966,176,1008,
paraboloid_plane,8,128,128,0.28642159328787087,0.3181980515339465,calg_curved_graph,0.06,0.06,0.0,2.737868962999528,276,2464,fast_path_ratio=0.121753; curved_attempted=154; interval_attempted=0
paraboloid_plane,8,128,128,0.28642159328787087,0.3181980515339465,linear_triangle_bvh,0.06,0.06,0.0,1.0497862089996488,242,2464,
cylinder_plane,4,48,72,0.5535762001809023,0.37712361663282556,calg_curved_graph,0.05,0.030437162947880493,0.01956283705211951,1.833131301999856,194,768,fast_path_ratio=0.229167; curved_attempted=140; interval_attempted=0
cylinder_plane,4,48,72,0.5535762001809023,0.37712361663282556,linear_triangle_bvh,0.05,0.050000000000000044,4.163336342344337e-17,0.1701420600002166,104,320,
cylinder_plane,6,72,72,0.47643183993912586,0.37712361663282556,calg_curved_graph,0.05,0.0494369092900288,0.0005630907099712021,1.7707904700000654,166,672,fast_path_ratio=0.428571; curved_attempted=114; interval_attempted=0
cylinder_plane,6,72,72,0.47643183993912586,0.37712361663282556,linear_triangle_bvh,0.05,0.050000000000000044,4.163336342344337e-17,0.23667736399966088,106,480,
cylinder_plane,8,128,128,0.35785504571593896,0.2828427124746193,calg_curved_graph,0.05,0.04979027973105239,0.00020972026894761076,3.6763218579999375,432,1872,fast_path_ratio=0.25641; curved_attempted=252; interval_attempted=0
cylinder_plane,8,128,128,0.35785504571593896,0.2828427124746193,linear_triangle_bvh,0.05,0.050000000000000044,4.163336342344337e-17,0.39416456500021013,320,768,
