case,method,expected_gap,min_gap,abs_error,elapsed_s,contacts,candidate_pairs,faces_a,faces_b,notes
plane_plane_gap,calg_curved_graph,0.08,0.08,0.0,1.3917114639998545,328,400,32,32,fast_path_ratio=0.82; curved_attempted=264; interval_attempted=0
plane_plane_gap,linear_triangle_bvh,0.08,0.08,0.0,0.14044571199974598,328,400,32,32,
plane_plane_gap,trimesh_nearest_sampled,0.08,0.08,0.0,0.08346788200014998,306,306,32,32,open_source_baseline=trimesh.closest_point_naive
plane_plane_gap,global_subdivision_linear_L1,0.08,0.08,0.0,1.6949638830001277,1544,4624,32,32,faces_a=128; faces_b=128
sphere_plane_gap,calg_curved_graph,0.08,0.0785587146995454,0.0014412853004546061,0.5018287950006197,60,596,80,72,fast_path_ratio=0.107383; curved_attempted=46; interval_attempted=0
sphere_plane_gap,linear_triangle_bvh,0.08,0.08000000000000007,6.938893903907228e-17,0.119934481999735,60,168,80,72,
sphere_plane_gap,trimesh_nearest_sampled,0.08,0.08000000000000007,6.938893903907228e-17,0.23971637800059398,2,699,80,72,open_source_baseline=trimesh.closest_point_naive
sphere_plane_gap,global_subdivision_linear_L1,0.08,0.08000000000000007,6.938893903907228e-17,0.5962539020001714,60,1088,80,72,faces_a=320; faces_b=288
paraboloid_plane_gap,calg_curved_graph,0.06,0.05999999999999997,2.7755575615628914e-17,1.4286383010003192,180,1008,72,72,fast_path_ratio=0.190476; curved_attempted=100; interval_attempted=0
paraboloid_plane_gap,linear_triangle_bvh,0.06,0.06,0.0,0.4189246000005369,176,1008,72,72,
paraboloid_plane_gap,trimesh_nearest_sampled,0.06,0.06,0.0,0.1919053889996576,94,674,72,72,open_source_baseline=trimesh.closest_point_naive
paraboloid_plane_gap,global_subdivision_linear_L1,0.06,0.06,0.0,3.3973548050007594,514,8528,72,72,faces_a=288; faces_b=288
