case_id,geometry,faces_a,faces_b,d_hat,candidate_pairs,contacts,min_gap,fast_path_ratio,curved_attempted,interval_attempted,elapsed_s,status,notes
0,ruffled_sphere_plane,120,50,0.12188215999535004,904,117,0.05094401267045384,0.17809734513274336,56,0,1.1020365389995277,passed,
1,lobed_rotor_plane,48,72,0.07463846734938848,632,165,0.0026524316139776975,0.16772151898734178,124,0,1.5766131910004333,passed,
2,wavy_sheet_plane,50,50,0.06531591827393449,676,141,0.03137633608341182,0.2988165680473373,29,0,0.9250664179999148,passed,
3,ruffled_sphere_plane,120,50,0.09772743201144851,756,88,0.06822916607923439,0.19973544973544974,52,0,0.9846380700000736,passed,
4,lobed_rotor_plane,48,72,0.08892995988237204,736,186,0.012691925151613897,0.2078804347826087,137,0,1.6275598970005376,passed,
5,wavy_sheet_plane,50,50,0.09820984112446955,766,193,0.05688322030174482,0.3276762402088773,61,0,1.2293862359993,passed,
6,ruffled_sphere_plane,120,50,0.14917201107614136,1616,100,0.1166325299417627,0.1150990099009901,61,0,1.411570768999809,passed,
7,lobed_rotor_plane,48,72,0.09981507427774701,784,208,-0.010939508768021279,0.23341836734693877,161,0,1.8585011200002555,passed,
8,wavy_sheet_plane,50,50,0.09589332921628221,728,111,0.07700244196016856,0.22115384615384615,19,0,0.8032990399997288,passed,
9,ruffled_sphere_plane,120,50,0.11355882349496355,904,95,0.08712224412604239,0.16592920353982302,58,0,1.06717377699988,passed,
10,lobed_rotor_plane,48,72,0.060766611660262884,576,166,0.0014171109039129153,0.2048611111111111,126,0,1.4042049480003698,passed,
11,wavy_sheet_plane,50,50,0.1,750,7,0.09888926747425344,0.04,0,0,0.4015097860001333,passed,
12,ruffled_sphere_plane,120,50,0.13725357973513092,916,99,0.10571036088391421,0.19759825327510916,62,0,1.2147306289998596,passed,
13,lobed_rotor_plane,48,72,0.1,768,123,0.02868271906665702,0.19140625,77,0,1.1008167620002496,passed,
14,wavy_sheet_plane,50,50,0.1,734,153,0.07281149239176907,0.27520435967302453,45,0,1.0371079639999152,passed,
15,ruffled_sphere_plane,120,50,0.11308291772252627,904,99,0.08570996777355928,0.1592920353982301,54,0,1.2095757500001127,passed,
16,lobed_rotor_plane,48,72,0.09888196436846886,848,184,-0.10183875918328054,0.22877358490566038,137,0,1.6642571750007846,passed,
17,wavy_sheet_plane,50,50,0.08825790806664371,702,102,0.07543569948057935,0.2222222222222222,35,0,0.8561453250003979,passed,
18,ruffled_sphere_plane,120,50,0.10345846286627344,800,111,0.044452467186176875,0.17375,55,0,1.005941726999481,passed,
19,lobed_rotor_plane,48,72,0.09932865649894035,768,191,0.03404638042311184,0.20833333333333334,140,0,1.6141891380002562,passed,
20,wavy_sheet_plane,50,50,0.07404728115010212,676,124,0.05625392806675146,0.28402366863905326,46,0,0.9654638470001373,passed,
