case_id,resolution,curvature_a,apex_x0,apex_y0,expected_gap,calg_gap,linear_gap,calg_error,linear_error,calg_elapsed_s,linear_elapsed_s,calg_candidate_pairs,linear_candidate_pairs,calg_contacts,linear_contacts,calg_better,error_ratio_linear_over_calg,notes
0,4,0.6461519549753464,0.03515994564867874,-0.16326637432657162,0.07212844091841478,0.07212844091841478,0.09015099573984775,0.0,0.018022554821432973,6.529999154736288e-07,0.00019076000012319128,1,32,1,1,True,1802255482143.2974,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
1,4,0.9542243353176488,-0.1082440983509139,0.1310791315545962,0.04975972494919164,0.04975972494919164,0.07733539938194499,0.0,0.02757567443275335,3.020002168341307e-07,8.041399996727705e-05,1,32,1,1,True,2757567443275.335,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
2,4,1.0622257364275947,-0.08246575669535887,-0.13287231058948112,0.061814423364099355,0.061814423364099355,0.08779184626515141,0.0,0.025977422901052052,2.6099996830453165e-07,6.337900003927643e-05,1,32,1,1,True,2597742290105.205,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
3,7,1.1875938655432485,0.0629961932705958,0.009760655142431383,0.0431803784532018,0.0431803784532018,0.0608376322396456,0.0,0.017657253786443797,1.9599997358454857e-07,0.00010500099983801192,1,98,1,1,True,1765725378644.3796,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
4,5,0.7029458005839274,-0.04043002117053541,0.025239028247728796,0.06708810735113933,0.06708810735113933,0.09136315934648899,0.0,0.024275051995349656,1.7899992599268444e-07,8.445100002063555e-05,1,50,1,1,True,2427505199534.966,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
5,7,0.7301441801469079,-0.08332415515284688,-0.007390353412034357,0.0383246799094097,0.0383246799094097,0.05180061427974271,0.0,0.01347593437033301,1.969999630091479e-07,9.13780002065323e-05,1,98,1,1,True,1347593437033.301,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
6,12,0.6814404180622249,-0.039655108074273686,0.01951329335054007,0.07105724314752707,0.07105724314752707,0.0723882981360355,0.0,0.00133105498850844,1.7000002117129043e-07,0.00041865799994411645,1,288,1,1,True,133105498850.844,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
7,12,0.7747361179411657,-0.04838290679801789,-0.03100638883888021,0.053756326536899386,0.053756326536899386,0.056314739028462964,0.0,0.0025584124915635775,2.3099983081920072e-07,0.00018857500003832683,1,288,1,1,True,255841249156.35776,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
8,5,0.6538854011682377,-0.04773686725499081,-0.14353287956819794,0.07485743502158682,0.07485743502158682,0.08648189849493139,0.0,0.011624463473344573,1.6399985725001898e-07,7.361799998761853e-05,1,50,1,1,True,1162446347334.4573,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
9,12,0.5721326813155745,0.02174188438994875,-0.0506823689558025,0.0688356042578023,0.0688356042578023,0.07057569549456005,0.0,0.0017400912367577515,1.6100011634989642e-07,0.00017773199988369015,1,288,1,1,True,174009123675.77515,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
10,3,0.662235240720574,-0.07850306939434057,-0.17657180339681613,0.035983444298607455,0.035983444298607455,0.06098132282340314,0.0,0.024997878524795687,1.720000000204891e-07,5.367699986891239e-05,1,18,1,1,True,2499787852479.569,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
11,7,1.0305104681219,-0.007494741419790231,-0.08291640494912454,0.04282611319781284,0.04282611319781284,0.06142356414595239,0.0,0.018597450948139548,1.7399997886968777e-07,9.42199999371951e-05,1,98,1,1,True,1859745094813.9548,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
12,12,1.073338393429585,0.04734547677183125,-0.05659292743983677,0.04260680066913363,0.04260680066913363,0.04845043442289348,0.0,0.005843633753759847,1.8699984138947912e-07,0.00018536500010668533,1,288,1,1,True,584363375375.9847,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
13,3,1.022622633588247,-0.18973372856800547,-0.0814865536483479,0.05472715804032468,0.05472715804032468,0.08063449526089694,0.0,0.025907337220572264,1.9599997358454857e-07,5.302699992171256e-05,1,18,1,1,True,2590733722057.2266,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
14,5,1.1858957392542409,-0.04596310810561831,-0.06014913651577539,0.0726402397860574,0.0726402397860574,0.09415442117183132,0.0,0.02151418138577392,1.850000899139559e-07,6.774700000278244e-05,1,50,1,1,True,2151418138577.392,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
15,10,1.0352307962485168,-0.008356321003915104,-0.024244394380659538,0.036600524102127614,0.036600524102127614,0.037281311294261904,0.0,0.0006807871921342898,2.0199991013214458e-07,0.00016284399998767185,1,200,1,1,True,68078719213.42898,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
16,3,1.0321746127089386,-0.1136570348949125,0.15392833303144898,0.05683175930091827,0.05683175930091827,0.09342631156958683,0.0,0.03659455226866856,1.809999048418831e-07,5.583699999078817e-05,1,18,1,1,True,3659455226866.8564,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
17,3,1.1528766881251937,0.09404907305257451,0.13747175173266832,0.04098940695150932,0.04098940695150932,0.11300276740683984,0.0,0.07201336045533052,1.7699994714348577e-07,5.135500009600946e-05,1,18,1,1,True,7201336045533.052,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
